Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
Phiroz Zal Navroze,MGT 171 - Operations Management (A),FA21,61,33,66.7%,87.9%,6.2,B (3.00),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059762
Hedges Kathleen,MGT 172 - Business Project Management (A),FA21,101,45,97.6%,95.2%,5.34,B+ (3.70),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054752
Royal Rebecca,MGT 172 - Business Project Management (A),FA21,101,45,97.6%,92.7%,5.34,B+ (3.70),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054752A
Hedges Kathleen,MGT 172 - Business Project Management (B),FA21,83,31,100.0%,96.8%,5.47,B+ (3.67),B+ (3.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054753
Zimmermann Carsten,MGT 172 - Business Project Management (C),FA21,82,64,84.4%,85.9%,4.34,B+ (3.48),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054754
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),FA21,100,94,93.6%,97.9%,4.87,A- (3.80),A- (3.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054755
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),FA21,84,29,88.9%,92.6%,5.42,B+ (3.69),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059763
McKay Michael J,MGT 18 - Managing Diverse Teams (A),FA21,88,42,85.0%,95.0%,3.4,A- (3.73),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054722
McKay Michael J,MGT 18 - Managing Diverse Teams (B),FA21,87,45,92.9%,88.1%,3.31,B+ (3.63),B (3.09),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054723
McKay Michael J,MGT 18 - Managing Diverse Teams (C),FA21,83,37,83.8%,94.6%,5.15,B+ (3.61),B- (2.92),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054724
McKay Mary A,MGT 18 - Managing Diverse Teams (D),FA21,84,39,89.7%,84.6%,4.45,B+ (3.47),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054725
McKay Mary A,MGT 18 - Managing Diverse Teams (E),FA21,87,44,88.1%,85.7%,4.89,B+ (3.54),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054726
Buchanan Harold G,MGT 181 - Enterprise Finance (A),FA21,95,91,93.4%,94.5%,5.09,B+ (3.36),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054756
Buchanan Harold G,MGT 181 - Enterprise Finance (B),FA21,66,62,96.8%,95.2%,5.44,B+ (3.56),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054757
Bliss Barbara Ann,MGT 181 - Enterprise Finance (C),FA21,85,81,92.5%,98.8%,5.61,B+ (3.44),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059764
Buchanan Harold G,MGT 183 - Financial Investments (A),FA21,66,62,91.9%,87.1%,5.61,B (3.28),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059765
Dunn Louis Jean,MGT 185 - Investment Banking (A),FA21,33,15,86.7%,73.3%,9.43,B+ (3.47),B- (2.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054758
Dunn Louis Jean,MGT 187 - New Venture Finance (A),FA21,83,30,89.7%,86.2%,4.16,B+ (3.66),B- (2.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054759
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),FA21,69,29,77.8%,96.3%,5.46,B (3.29),B- (2.91),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054716
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),FA21,126,109,92.7%,94.5%,5.93,B+ (3.36),B (3.02),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054727
Pecore Joseph P.,MGT 45 - Principles of Accounting (B),FA21,129,120,90.8%,90.8%,6.03,B+ (3.54),B (3.09),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054728
Houskeeper Robert,MGT 5 - Managerial Accounting (A),FA21,163,124,85.0%,84.2%,4.67,B+ (3.43),C+ (2.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=054717
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),FA21,82,73,94.5%,94.5%,3.08,A- (3.86),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=059751
August Terrence,MGT 71 - Business & Operations Mgt (A),FA21,87,31,78.6%,89.3%,5.98,B+ (3.33),B (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=061255
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),S221,78,17,87.5%,100.0%,7.38,B+ (3.42),B- (2.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050140
Ehrich Kristine R,MGT 112 - Global Business Strategy (A),S221,72,14,92.9%,78.6%,8.64,B+ (3.43),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050141
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),S221,78,58,100.0%,100.0%,5.36,A- (3.96),A- (3.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050137
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S221,54,15,93.3%,86.7%,8.36,A- (3.86),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050142
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S221,44,42,92.9%,92.9%,7.26,B (3.26),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050143
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S221,43,40,92.5%,95.0%,7.25,B+ (3.69),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050144
McKay Mary A,MGT 164 - Business and Org Leadership (A),S221,73,9,77.8%,77.8%,7.83,B+ (3.33),B- (2.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050145
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S221,32,12,90.9%,90.9%,5.95,B+ (3.55),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050138
Dunn Louis Jean,MGT 181 - Enterprise Finance (A),S221,93,19,100.0%,94.4%,7.13,B+ (3.68),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050146
Anderson John Charles,MGT 4 - Financial Accounting (A),S221,49,35,85.7%,94.3%,8.27,B+ (3.32),B- (2.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050134
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),S221,56,41,87.8%,95.1%,7.13,B (3.12),B- (2.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050139
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),S121,76,72,97.2%,91.7%,5.64,B+ (3.50),B- (2.92),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050127
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),S121,49,14,71.4%,71.4%,9.36,B+ (3.50),C+ (2.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050128
Anderson John Charles,MGT 132 - Auditing (A),S121,29,26,92.3%,88.5%,7.81,B+ (3.38),B+ (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050129
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),S121,41,38,91.9%,86.5%,6.28,B+ (3.36),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050130
McKay Michael J,MGT 16 - Personal Ethics at Work (A),S121,67,19,82.4%,88.2%,6.5,A- (3.76),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050125
McKay Mary A,MGT 164 - Business and Org Leadership (A),S121,63,9,100.0%,100.0%,11.75,A- (3.75),C+ (2.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050131
Hedges Kathleen,MGT 172 - Business Project Management (A),S121,109,21,95.0%,94.7%,7.0,A- (3.85),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050132
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S121,55,10,100.0%,100.0%,6.3,A- (3.70),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050126
Houskeeper Robert,MGT 5 - Managerial Accounting (A),S121,98,17,93.3%,100.0%,7.03,A- (3.71),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=050124
Wilbur Kenneth C,MGT 102 - E-Commerce (A),SP21,62,29,96.6%,100.0%,5.53,A- (3.78),A (4.00),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037906
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),SP21,51,43,93.0%,88.4%,4.03,B (3.20),C+ (2.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037907
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),SP21,57,43,90.7%,88.4%,4.31,B+ (3.67),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037908
Ehrich Kristine R,MGT 103 - Product Marketing & Management (C),SP21,76,70,95.7%,95.7%,4.67,B+ (3.37),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037909
Demill Burritt,MGT 103 - Product Marketing & Management (D),SP21,88,83,96.4%,96.3%,4.81,B+ (3.54),B+ (3.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037910
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (E),SP21,78,62,96.7%,96.7%,4.43,A- (3.71),B+ (3.46),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037911
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),SP21,79,57,94.7%,92.9%,4.5,B+ (3.62),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037912
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),SP21,112,97,95.8%,94.8%,4.5,A- (3.79),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037913
Eberhard Craig A,MGT 106 - Sales and Sales Management (A),SP21,82,70,84.3%,88.6%,3.61,B+ (3.49),B (3.10),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037914
Zimmermann Carsten,MGT 112 - Global Business Strategy (A),SP21,85,75,89.3%,93.3%,5.03,B+ (3.60),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037915
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),SP21,35,30,86.7%,83.3%,6.83,B+ (3.42),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037916
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),SP21,35,29,79.3%,82.8%,4.57,B+ (3.58),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037917
Ehrich Kristine R,MGT 112 - Global Business Strategy (D),SP21,83,81,91.4%,87.7%,5.22,B+ (3.56),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037918
Ehrich Kristine R,MGT 112 - Global Business Strategy (E),SP21,76,74,81.1%,75.7%,6.39,B+ (3.56),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037919
Kim Nancy Sun Kyung,MGT 117 - Business Law (A),SP21,80,27,100.0%,96.0%,5.19,B+ (3.65),A- (3.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037920
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),SP21,156,142,99.3%,100.0%,3.08,A- (3.93),A- (3.91),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037894
Klaas Jeffrey David,MGT 121B - Innovation to Market B (A),SP21,52,50,96.0%,94.0%,4.7,B+ (3.51),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037923
Krishnan Viswanathan,MGT 128R - Business Innovation & Growth (A),SP21,47,42,92.9%,97.6%,4.79,B+ (3.34),B+ (3.64),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037924
Krishnan Viswanathan,MGT 128R - Business Innovation & Growth (B),SP21,23,20,90.0%,95.0%,4.9,B+ (3.53),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=046713
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),SP21,67,52,90.4%,90.4%,5.73,B+ (3.41),C+ (2.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037925
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),SP21,61,53,92.5%,86.8%,4.99,B+ (3.56),B- (2.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037926
Blakley Bruce,MGT 132 - Auditing (A),SP21,69,27,96.3%,96.3%,5.35,B+ (3.46),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037927
Pecore Joseph P.,MGT 133 - Advanced Cost Accounting (A),SP21,36,33,78.8%,90.9%,4.56,B+ (3.32),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037928
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),SP21,43,43,100.0%,100.0%,5.01,B+ (3.63),A- (3.82),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037929
Anderson John Charles,MGT 147 - Not-for-profit & Govt Acct (A),SP21,37,35,91.4%,97.1%,4.44,B+ (3.48),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037930
Perols Johan Lars,MGT 153 - Business Analytics (A),SP21,66,27,80.8%,88.5%,5.5,B+ (3.43),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037931
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),SP21,79,30,72.4%,82.8%,6.09,B+ (3.42),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037932
Bliss Barbara Ann,MGT 158 - Real Estate & the Tech Sector (A),SP21,57,37,83.8%,89.2%,4.55,B+ (3.69),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037933
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),SP21,93,68,97.0%,98.5%,4.62,A- (3.70),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037895
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),SP21,110,74,97.2%,95.8%,3.94,A- (3.82),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037896
Buchanan Harold G,MGT 16 - Personal Ethics at Work (C),SP21,60,53,92.3%,90.4%,2.88,A- (3.82),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037897
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (D),SP21,108,98,99.0%,100.0%,3.03,A- (3.94),A- (3.95),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037898
Demill Burritt,MGT 162 - Negotiations (A),SP21,84,76,100.0%,97.3%,3.5,A- (3.81),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=046716
McKay Mary A,MGT 164 - Business and Org Leadership (A),SP21,39,16,81.3%,81.3%,6.5,B+ (3.62),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037934
McKay Mary A,MGT 164 - Business and Org Leadership (B),SP21,48,9,88.9%,88.9%,6.5,B+ (3.38),C+ (2.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037935
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (C),SP21,81,75,97.3%,97.3%,5.5,A- (3.86),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037936
Zimmermann Carsten,MGT 164 - Business and Org Leadership (D),SP21,83,71,94.4%,93.0%,6.22,B+ (3.66),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037937
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),SP21,35,29,82.1%,89.3%,5.29,B+ (3.42),B (3.11),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037938
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),SP21,34,30,93.1%,93.1%,5.19,B+ (3.40),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037939
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),SP21,13,8,87.5%,87.5%,3.5,B+ (3.63),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037940
Shaffer Lisa Robock,MGT 166 - Corp Social Responsibility (D),SP21,83,43,75.6%,72.5%,6.21,A- (3.75),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037941
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (A),SP21,75,53,98.1%,98.1%,4.92,A- (3.75),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037942
Phiroz Zal Navroze,MGT 171 - Operations Management (A),SP21,79,27,85.2%,88.9%,4.43,B+ (3.43),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037943
Hedges Kathleen,MGT 172 - Business Project Management (A),SP21,94,46,95.2%,100.0%,4.11,A- (3.74),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037944
Royal Rebecca,MGT 172 - Business Project Management (A),SP21,94,46,95.2%,100.0%,4.11,A- (3.74),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037944A
Hedges Kathleen,MGT 172 - Business Project Management (B),SP21,81,36,100.0%,97.2%,5.44,B+ (3.70),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037945
Moghadas Khorasani Sina,MGT 172 - Business Project Management (C),SP21,53,50,94.0%,98.0%,3.86,B+ (3.37),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037946
Moghadas Khorasani Sina,MGT 172 - Business Project Management (D),SP21,28,27,92.6%,88.9%,5.24,B (3.27),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037947
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),SP21,100,93,97.8%,100.0%,5.07,A- (3.88),A- (3.87),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037948
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),SP21,81,23,100.0%,100.0%,4.5,B+ (3.67),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037949
Gopal Christopher S.,MGT 176 - Strategic Cost Management (A),SP21,45,14,92.9%,92.9%,4.64,B+ (3.50),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=046717
McKay Michael J,MGT 18 - Managing Diverse Teams (A),SP21,55,24,78.3%,82.6%,5.02,B+ (3.53),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037899
McKay Michael J,MGT 18 - Managing Diverse Teams (B),SP21,75,34,96.9%,96.9%,3.73,A- (3.80),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037900
McKay Michael J,MGT 18 - Managing Diverse Teams (C),SP21,44,18,94.1%,94.1%,4.5,A- (3.80),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037901
McKay Mary A,MGT 18 - Managing Diverse Teams (D),SP21,12,3,100.0%,100.0%,3.5,A (4.00),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037902
Buchanan Harold G,MGT 181 - Enterprise Finance (A),SP21,107,102,97.1%,96.1%,5.21,B+ (3.59),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037950
Buchanan Harold G,MGT 181 - Enterprise Finance (B),SP21,105,101,96.0%,98.0%,5.55,B+ (3.52),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037951
Dunn Louis Jean,MGT 185 - Investment Banking (A),SP21,49,17,88.2%,88.2%,9.21,B+ (3.60),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037952
Dunn Louis Jean,MGT 187 - New Venture Finance (A),SP21,97,36,97.1%,97.1%,5.53,B+ (3.67),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037953
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),SP21,62,20,83.3%,77.8%,6.28,B+ (3.41),B- (2.86),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037891
Levkoff Steven B.,MGT 4 - Financial Accounting (A),SP21,9,5,60.0%,80.0%,5.3,C+ (2.60),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=044862
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),SP21,84,74,89.0%,90.4%,6.69,B+ (3.35),B+ (3.30),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037903
Pecore Joseph P.,MGT 45 - Principles of Accounting (B),SP21,90,78,87.2%,93.6%,6.12,B (3.24),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037904
Houskeeper Robert,MGT 5 - Managerial Accounting (A),SP21,185,121,90.8%,85.7%,4.75,B+ (3.63),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037893
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),SP21,94,86,98.8%,100.0%,4.01,A- (3.79),A- (3.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=037905
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),WI21,30,25,96.0%,96.0%,3.86,B+ (3.63),C+ (2.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031729
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),WI21,35,33,97.0%,97.0%,3.65,B+ (3.69),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031730
Eberhard Craig A,MGT 103 - Product Marketing & Management (C),WI21,49,45,93.3%,91.1%,4.94,B+ (3.38),B- (2.99),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031731
Ehrich Kristine R,MGT 103 - Product Marketing & Management (D),WI21,81,74,89.0%,86.3%,4.93,B+ (3.34),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031732
Demill Burritt,MGT 103 - Product Marketing & Management (E),WI21,83,80,97.5%,97.5%,4.98,B+ (3.63),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031733
Demill Burritt,MGT 103 - Product Marketing & Management (F),WI21,81,74,90.5%,93.2%,4.69,B+ (3.51),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031734
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),WI21,46,42,100.0%,95.2%,4.5,B+ (3.61),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031735
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (H),WI21,46,43,95.3%,95.3%,4.83,B+ (3.57),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031736
Gershon Rachel M,MGT 107 - Consumer Behavior (A),WI21,64,33,100.0%,100.0%,3.71,A- (3.88),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036205
Gershon Rachel M,MGT 107 - Consumer Behavior (B),WI21,83,37,94.6%,94.6%,4.23,A- (3.86),A- (3.77),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036206
Gershon Rachel M,MGT 107 - Consumer Behavior (C),WI21,54,29,100.0%,100.0%,4.98,A- (3.96),A- (3.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036207
Zimmermann Carsten,MGT 112 - Global Business Strategy (A),WI21,83,79,82.1%,91.0%,5.0,B+ (3.52),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031737
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),WI21,38,28,71.4%,82.1%,5.5,B+ (3.56),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031738
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),WI21,25,17,82.4%,94.1%,6.03,B+ (3.53),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031739
Ehrich Kristine R,MGT 112 - Global Business Strategy (D),WI21,83,69,87.0%,84.1%,5.83,B+ (3.63),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031740
Ehrich Kristine R,MGT 112 - Global Business Strategy (E),WI21,55,53,86.8%,83.0%,5.78,B+ (3.57),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036208
Kim Nancy Sun Kyung,MGT 117 - Business Law (A),WI21,81,69,92.8%,95.7%,4.91,B+ (3.63),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036209
Felke Magnus Roland,MGT 119 - Topics in Business (A),WI21,12,10,90.0%,90.0%,3.3,B+ (3.63),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036210
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),WI21,97,85,95.2%,89.3%,3.17,B+ (3.67),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031718
Pecore Joseph P.,MGT 12 - Personal Financial Management (B),WI21,93,81,97.5%,96.3%,3.3,A- (3.81),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031719
Maki Kanetaka,MGT 121A - Innovation to Market A (A),WI21,76,27,80.8%,73.1%,6.28,A- (3.79),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031741
Zhu Kevin Xiaoguo,MGT 127 - Innovation and Tech Strategy (A),WI21,61,54,92.6%,94.4%,5.02,B+ (3.64),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036211
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),WI21,86,69,91.3%,91.2%,5.8,B+ (3.43),B (3.20),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031742
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),WI21,79,57,96.5%,96.5%,4.99,A- (3.75),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031743
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),WI21,58,51,98.0%,96.0%,4.9,B+ (3.51),B (3.29),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031744
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),WI21,89,86,98.8%,100.0%,5.1,B+ (3.69),A- (3.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036212
Lindenberger Wade Douglas,MGT 137 - Financial Statement Analysis (A),WI21,79,73,100.0%,100.0%,5.46,A- (3.92),A- (3.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036213
Perols Johan Lars,MGT 153 - Business Analytics (A),WI21,54,17,100.0%,94.1%,6.97,B (3.18),B+ (3.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031745
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),WI21,76,30,86.2%,96.6%,6.97,B+ (3.44),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031746
Phiroz Zal Navroze,MGT 153 - Business Analytics (C),WI21,66,14,100.0%,100.0%,6.5,B+ (3.62),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031747
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),WI21,137,97,96.8%,95.8%,3.53,A- (3.85),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031720
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),WI21,51,45,91.1%,95.6%,3.52,A- (3.74),B+ (3.31),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031721
Buchanan Harold G,MGT 16 - Personal Ethics at Work (C),WI21,24,22,100.0%,100.0%,2.95,A- (3.84),B+ (3.65),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031722
